query,expected_output,source_file,source_location
"Nghị định quy định các danh mục chất ma túy và tiền chất có hiệu lực thi hành từ ngày nào?","Nghị định có hiệu lực thi hành từ ngày 19 tháng 01 năm 2026.","28-2026.md","Điều 4 (Hiệu lực thi hành)"
"Cơ quan nào có trách nhiệm quản lý nhà nước về các tiền chất sử dụng trong lĩnh vực công nghiệp?","Bộ Công Thương có trách nhiệm quản lý nhà nước về các tiền chất sử dụng trong lĩnh vực công nghiệp.","28-2026.md","Điều 3 Khoản 2"
"Carisoprodol và Etomidate phải thực hiện quy định quản lý chất ma túy từ ngày nào?","Các tổ chức, cá nhân sản xuất, kinh doanh hợp pháp Carisoprodol và Etomidate phải thực hiện các quy định về quản lý chất ma túy kể từ ngày 01 tháng 6 năm 2026.","28-2026.md","Điều 4 Khoản 2"
"Nghị định 34/2026/NĐ-CP sửa đổi, bổ sung nghị định nào?","Nghị định số 178/2025/NĐ-CP ngày 01/7/2025 của Chính phủ quy định chi tiết một số điều của Luật Quy hoạch đô thị và nông thôn.","34-2026.md","Phần mở đầu / Điều 1"
"Hồ sơ quy hoạch phải gửi qua hệ thống nào?","Hồ sơ được gửi qua Hệ thống thông tin cơ sở dữ liệu quốc gia về hoạt động xây dựng đến cơ quan thẩm định.","34-2026.md","Điều 1 Khoản sửa đổi Điều 10"
"Thời gian xem xét quy hoạch tổng mặt bằng là bao lâu?","Không quá 15 ngày kể từ ngày nhận được đầy đủ hồ sơ.","34-2026.md","Điều 1 Khoản sửa đổi Điều 31"
"Nghị định 47/2026/NĐ-CP sửa đổi nghị định nào?","Nghị định số 138/2021/NĐ-CP ngày 31/12/2021 của Chính phủ quy định về quản lý, bảo quản tang vật, phương tiện vi phạm hành chính bị tạm giữ, tịch thu và giấy phép, chứng chỉ hành nghề bị tạm giữ theo thủ tục hành chính.","47-2026.md","Điều 1"
"Ai quyết định việc niêm phong tang vật, phương tiện?","Người lập biên bản tạm giữ hoặc người có thẩm quyền tạm giữ tang vật, phương tiện quyết định việc niêm phong.","47-2026.md","Điều 1 Khoản bổ sung Điều 11a"
"Thay thế cụm từ xã, phường, thị trấn bằng cụm từ nào?","Ủy ban nhân dân xã, phường, đặc khu.","47-2026.md","Điều 1 Khoản sửa đổi Điều 14"
"Nghị định 61/2026/NĐ-CP thay thế nghị định nào?","Nghị định số 135/2021/NĐ-CP ngày 31/12/2021 của Chính phủ quy định về danh mục, việc quản lý, sử dụng phương tiện, thiết bị kỹ thuật nghiệp vụ và quy trình thu thập, sử dụng dữ liệu thu được từ phương tiện, thiết bị kỹ thuật nghiệp vụ do cá nhân, tổ chức cung cấp để phát hiện vi phạm hành chính.","61-2026.md","Điều 27"
"Dữ liệu có thể được cung cấp qua những hình thức nào?","Trực tiếp, thư điện tử, cổng hoặc trang thông tin điện tử, ứng dụng định danh điện tử quốc gia VNeID, dịch vụ bưu chính hoặc thông qua kết nối, chia sẻ dữ liệu điện tử.","61-2026.md","Điều 17"
"Cá nhân, tổ chức cung cấp dữ liệu có quyền gì?","Có quyền yêu cầu cơ quan có thẩm quyền thông báo kết quả xác minh, xử lý dữ liệu đã cung cấp.","61-2026.md","Điều 19"
"Nghị định 62/2026/NĐ-CP sửa đổi nghị định nào?","Nghị định số 06/2005/NĐ-CP ngày 19/01/2005 của Chính phủ về việc lập và hoạt động của Văn phòng đại diện của các tổ chức hợp tác, nghiên cứu của nước ngoài tại Việt Nam.","62-2026.md","Điều 1"
"Bộ Ngoại giao cấp hoặc từ chối giấy phép trong bao lâu?","Không quá 14 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ.","62-2026.md","Điều 1 Khoản sửa đổi Điều 7"
"Văn phòng đại diện phải báo cáo định kỳ khi nào?","Văn phòng đại diện phải gửi báo cáo định kỳ cho Bộ Ngoại giao chậm nhất vào ngày 20 của tháng cuối kỳ báo cáo.","62-2026.md","Điều 1 Khoản sửa đổi Điều 15"